#TP2: Z-in (phase)
#Freq [MHz]	Z-in (phase) [degrees]
80	66.5378061400328
82	68.2172138859759
84	69.3863103885531
86	70.0603181747263
88	70.388155280254
90	70.4849073825423
92	70.4206280869782
94	70.2346700866835
96	69.9466842075779
98	69.5687622081964
100	69.1021681595644
102	68.5421058279298
104	67.8774229142672
106	67.0804052234772
108	66.1058611144201
110	64.8644458626904
112	63.1711938382718
114	60.5941795742204
116	55.8967057320764
118	43.9000679565279
120	-13.1008063252685
122	-81.6187541431144
124	-95.6973700630578
126	-100.726970623339
128	-103.275324462168
130	-104.815331496755
132	-105.855024336794
134	-106.618101555335
136	-107.219031222394
138	-107.721510212995
140	-108.161008119847
142	-108.553761967341
144	-109.009813611925
146	-109.107282918564
148	-109.11676413391
150	-109.003773378434
152	-108.742611966254
154	-108.343263775724
156	-107.869058762767
158	-107.417540466924
160	-107.073283155606
162	-106.87454598871
164	-106.816234634106
166	-106.871127722903
168	-107.007597990475
170	-107.194909999449
172	-107.413983363558
174	-107.645235701236
176	-107.866340147801
178	-108.061609758287
180	-108.210805270798
182	-108.290854389163
184	-108.272689417872
186	-108.114721006988
188	-107.764237601685
190	-107.119835787972
192	-105.983688003313
194	-103.86949131746
196	-99.16360319419
198	-82.1242409767702
200	20.3998905315845
202	52.3836769128944
204	58.9399808877996
206	61.6660552433434
208	63.1528965858983
210	64.0829276107145
212	64.712139763061
214	65.1580786378847
216	65.4820285395304
218	65.7184617792063
220	65.8875110832533
222	65.9998442080186
224	66.0595090504336
226	66.0644930840359
228	66.0063310838934
230	65.8669056677095
232	65.6143611516689
234	65.1935485158238
236	64.5359189551216
238	63.8679364286243
240	65.4224258613548
242	67.8154999613243
244	68.8558603946576
246	68.8454262433862
248	68.3240961168353
250	67.7729930158159
252	67.2434092418159
254	66.7248947436936
256	66.2053145233437
258	65.676606401827
260	65.1340054035613
262	64.5744342108923
264	63.9943004688497
266	63.3864595173777
268	62.735779592988
270	62.0105728652537
272	61.1172460763497
274	59.8515596570327
276	57.5067031997848
278	50.1865085622623
280	-59.3558914067587
282	-105.143264544395
284	-109.688959530797
286	-111.042003435389
288	-111.488161667109
290	-111.561513157723
292	-111.438684038838
294	-111.226160039343
296	-110.984858031848
298	-110.764924315401
300	-110.588763947251
302	-110.471450318451
304	-110.418896432672
306	-110.430894287954
308	-110.502867346381
310	-110.627960533631
312	-110.797966703401
314	-111.005148065363
316	-111.241395725335
318	-111.499954868511
320	-111.774279103165
322	-112.059077978432
324	-112.348956944745
326	-112.638869720405
328	-112.923904452189
330	-113.198531867926
332	-113.456890590391
334	-113.692065336088
336	-113.89577196073
338	-114.058534937765
340	-114.169105194841
342	-114.212750780141
344	-114.171057180439
346	-114.018294074144
348	-113.714927722077
350	-113.192342105046
352	-112.31048320504
354	-110.715684015297
356	-107.163293320767
358	-92.3462429786762
360	36.0292828972895
362	55.2264443845336
364	59.3176148025008
366	61.2031045884515
368	62.352391878937
370	63.1539075999085
372	63.7503947409472
374	64.2036911265361
376	64.5434780869968
378	64.7852546052929
380	64.9375846527385
382	65.0053408149107
384	64.9929599796757
386	64.9033955478826
388	64.7400345142141
390	64.5075506677666
392	64.2236440485475
394	63.9593937627495
396	64.367115200724
398	68.191248548381
400	67.1023004142249
402	67.2672239792767
404	65.1996648099522
406	63.6421924266634
408	62.7998033192938
410	62.1954445241172
412	61.7025240384094
414	61.2821620750407
416	60.9203857093301
418	60.612809149996
420	60.3573570368096
422	60.1522883006035
424	59.9929828718366
426	59.8681843512124
428	59.7540203990768
430	59.6031478312538
432	59.3116726910765
434	58.6240459020187
436	56.70512602982
438	48.2076095396589
440	-83.7177489586005
442	-106.916600529472
444	-110.047489832044
446	-111.074915854862
448	-111.518242244375
450	-111.765704300866
452	-111.95726591699
454	-112.15171490438
456	-112.372620492051
458	-112.626541433249
460	-112.910878731711
462	-113.219397794117
464	-113.544882681597
466	-113.879028749972
468	-114.214388913466
470	-114.542375124564
472	-114.853028038077
474	-115.133759669186
476	-115.375221428997
478	-115.587437330567
480	-115.840822447733
