#TP2: Z-in (magn)
#Freq [MHz]	Z-in (magn) [ohm]
80	939.519681935935
82	951.788191137083
84	972.430426365815
86	993.570397258292
88	1011.56481191667
90	1024.87866304505
92	1032.74310261991
94	1034.58179747616
96	1029.85929942784
98	1017.76367261757
100	997.542358178338
102	968.239951657129
104	928.807521977508
106	877.816626614579
108	813.854039191918
110	735.208256678337
112	639.920689218594
114	525.822959473053
116	390.945670138448
118	236.669116010095
120	113.500092150844
122	255.039800563285
124	526.866653939723
126	868.1445750824
128	1288.09053840365
130	1806.97281014436
132	2454.19732619629
134	3271.41978272569
136	4318.51548494387
138	5683.78090473234
140	7501.65978127507
142	9985.43811951183
144	13281.8552145399
146	18367.833318334
148	26304.2997669602
150	39695.3081262761
152	64998.0442528081
154	122028.49829548
156	298147.565256468
158	1479643.52627111
160	73846723.5582595
162	797200.345525515
164	230653.297187987
166	107981.530228831
168	62063.9042690677
170	39907.8983527071
172	27490.3567954219
174	19809.294707778
176	14716.6114717485
178	11156.8694388211
180	8566.04643578938
182	6618.99062705183
184	5117.56291936895
186	3935.73105351471
188	2988.15519930291
190	2217.68295752211
192	1583.40419989464
194	1055.85421100642
196	614.44578477275
198	253.000420063386
200	158.396188315376
202	404.368913832406
204	644.307030849424
206	858.566409839682
208	1049.09933309911
210	1218.91969707155
212	1370.73313827346
214	1506.82611265003
216	1629.09348090311
218	1739.11979436265
220	1838.25682208009
222	1927.64587372811
224	2008.27729020571
226	2081.03322082181
228	2146.77169233619
230	2206.42563559165
232	2261.47233183694
234	2315.07104348959
236	2376.37273896584
238	2474.26645198127
240	2610.47138639748
242	2602.48474612802
244	2563.75225377278
246	2507.81082562541
248	2469.8801961077
250	2437.31075500048
252	2400.74222012777
254	2355.66865606265
256	2299.39527807313
258	2229.85244832836
260	2145.192797094
262	2043.6058815985
264	1923.1923940251
266	1781.88340737013
268	1617.40846290478
270	1427.30597035429
272	1207.99220369545
274	956.317881211577
276	667.770618764408
278	338.996080172028
280	104.564434649693
282	517.234638473681
284	1044.17201228581
286	1675.68921882908
288	2439.91016792033
290	3375.53816583371
292	4540.37171488194
294	6014.85630937265
296	7916.56538898656
298	10415.3724659515
300	13777.2749991462
302	18427.4569981563
304	25085.3909268403
306	35048.675457141
308	50857.9115962305
310	78057.9743673893
312	130737.051434129
314	254051.150359549
316	666619.61176221
318	4498602.39674502
320	33451589.0686825
322	1123136.8728984
324	355947.978818535
326	171473.124817535
328	99544.7476828888
330	64141.9713021825
332	44111.8070562746
334	31673.061054625
336	23415.8133856076
338	17653.1378338951
340	13472.1553912653
342	10343.8940701701
344	7944.10275364688
346	6065.08181306732
348	4568.50437944411
350	3359.25844907771
352	2370.07301366435
354	1552.33259212193
356	870.950505724062
358	308.164340445954
360	238.25284183195
362	641.434091819261
364	1004.5101955401
366	1323.86922282981
368	1606.06298214765
370	1857.02491845855
372	2081.59259462653
374	2283.55338347519
376	2465.81140904977
378	2630.51189197084
380	2779.16730386999
382	2912.71387597546
384	3031.58318106233
386	3135.64378482314
388	3224.10598903014
390	3294.97183133635
392	3344.13735139572
394	3359.05022662657
396	3309.98413002238
398	3362.01226834466
400	3552.75330819633
402	3617.67087083665
404	3718.25607484208
406	3672.09485416703
408	3609.53065415713
410	3538.13986180592
412	3454.85075408476
414	3357.40179205587
416	3244.21941394228
418	3113.96385582749
420	2965.33164871992
422	2796.90590655102
424	2606.96700961098
426	2393.3692786739
428	2153.30797957468
430	1883.08627191003
432	1577.76628312973
434	1230.78904587423
436	833.854877264623
438	379.901395261981
440	207.222390970088
442	826.388389526378
444	1592.76768412754
446	2524.58696537552
448	3667.5555738666
450	5083.60027893618
452	6857.92319432786
454	9109.60177510521
456	12010.4502859135
458	15816.7847227684
460	20926.673776138
462	27985.5782323682
464	38097.7341772447
466	53281.6969535506
468	77553.9151136807
470	119875.206975463
472	203775.915547348
474	409057.055346806
476	1172944.89157888
478	15391374.5205716
480	20448252.5309353
